phone_2,phone_1,by,score,n
#,ə,t_g,0.611111111111,288
#,ɑː,t_g,1.0,24
#,ɪ,t_g,0.895833333333,48
#,iː,t_g,1.0,8
#,ɒ,t_g,1.0,8
#,uː,t_g,0.75,8
ə,#,t_g,0.916666666667,108
ə,ɑː,t_g,1.0,54
ə,ɪ,t_g,0.740740740741,108
ə,iː,t_g,0.888888888889,18
ə,ɒ,t_g,1.0,18
ə,uː,t_g,0.722222222222,18
ɑː,#,t_g,1.0,36
ɑː,ə,t_g,1.0,216
ɑː,ɪ,t_g,1.0,36
ɑː,iː,t_g,1.0,6
ɑː,ɒ,t_g,1.0,6
ɑː,uː,t_g,1.0,6
ɪ,#,t_g,1.0,48
ɪ,ə,t_g,0.496527777778,288
ɪ,ɑː,t_g,1.0,24
ɪ,iː,t_g,0.625,8
ɪ,ɒ,t_g,1.0,8
ɪ,uː,t_g,0.375,8
iː,#,t_g,1.0,24
iː,ə,t_g,0.5347222222219999,144
iː,ɑː,t_g,1.0,12
iː,ɪ,t_g,0.541666666667,24
iː,ɒ,t_g,1.0,4
iː,uː,t_g,0.0,4
ɒ,#,t_g,1.0,24
ɒ,ə,t_g,0.986111111111,144
ɒ,ɑː,t_g,0.833333333333,12
ɒ,ɪ,t_g,1.0,24
ɒ,iː,t_g,1.0,4
ɒ,uː,t_g,1.0,4
uː,#,t_g,0.875,24
uː,ə,t_g,0.402777777778,144
uː,ɑː,t_g,1.0,12
uː,ɪ,t_g,0.5,24
uː,iː,t_g,0.5,4
uː,ɒ,t_g,1.0,4
d,j,ei_u,0.416666666667,12
j,d,ei_u,1.0,6
t,d,ei_u,0.5,2
t,j,ei_u,0.5,6
#,iː,l_ii,1.0,2
#,uː,l_ii,1.0,6
iː,uː,l_ii,1.0,12
ɔɪ,iː,l_ii,1.0,2
ɔɪ,uː,l_ii,1.0,6
uː,iː,l_ii,1.0,6
ə,aʊ,b_t,0.988636363636,3520
ə,aɪ,b_t,0.984375,64
ə,ɛ,b_t,1.0,64
ə,ɪ,b_t,0.7686011904760001,1344
ə,iː,b_t,1.0,640
ə,uː,b_t,1.0,64
ə,ʌ,b_t,0.729464285714,6720
æ,ə,b_t,0.592741935484,992
æ,aʊ,b_t,0.7909090909090001,110
æ,aɪ,b_t,0.5,2
æ,ɛ,b_t,0.5,2
æ,ɪ,b_t,0.904761904762,42
æ,iː,b_t,1.0,20
æ,uː,b_t,1.0,2
æ,ʌ,b_t,0.485714285714,210
aʊ,ə,b_t,0.5704728739,10912
aʊ,aɪ,b_t,0.636363636364,22
aʊ,ɛ,b_t,1.0,22
aʊ,ɪ,b_t,0.8982683982680001,462
aʊ,iː,b_t,1.0,220
aʊ,uː,b_t,1.0,22
aʊ,ʌ,b_t,0.5155844155839999,2310
aɪ,ə,b_t,0.6723790322579999,1984
aɪ,aʊ,b_t,0.813636363636,220
aɪ,ɛ,b_t,1.0,4
aɪ,ɪ,b_t,0.9523809523810001,84
aɪ,iː,b_t,1.0,40
aɪ,uː,b_t,1.0,4
aɪ,ʌ,b_t,0.635714285714,420
ɛ,ə,b_t,0.658266129032,1984
ɛ,aʊ,b_t,0.9181818181820001,220
ɛ,aɪ,b_t,0.5,4
ɛ,ɪ,b_t,0.8571428571430001,84
ɛ,iː,b_t,1.0,40
ɛ,uː,b_t,1.0,4
ɛ,ʌ,b_t,0.7,420
ɛɪ,ə,b_t,0.801411290323,992
ɛɪ,aʊ,b_t,1.0,110
ɛɪ,aɪ,b_t,1.0,2
ɛɪ,ɛ,b_t,1.0,2
ɛɪ,ɪ,b_t,0.880952380952,42
ɛɪ,iː,b_t,1.0,20
ɛɪ,uː,b_t,1.0,2
