phone_2,phone_1,by,score,n
#,ə,t_g,0.9375,288
#,ɑː,t_g,1.0,24
#,ɪ,t_g,1.0,48
#,iː,t_g,1.0,8
#,ɒ,t_g,1.0,8
#,uː,t_g,1.0,8
ə,#,t_g,1.0,108
ə,ɑː,t_g,1.0,54
ə,ɪ,t_g,0.814814814815,108
ə,iː,t_g,0.944444444444,18
ə,ɒ,t_g,1.0,18
ə,uː,t_g,0.555555555556,18
ɑː,#,t_g,1.0,36
ɑː,ə,t_g,0.944444444444,216
ɑː,ɪ,t_g,1.0,36
ɑː,iː,t_g,1.0,6
ɑː,ɒ,t_g,1.0,6
ɑː,uː,t_g,1.0,6
ɪ,#,t_g,1.0,48
ɪ,ə,t_g,0.340277777778,288
ɪ,ɑː,t_g,1.0,24
ɪ,iː,t_g,0.875,8
ɪ,ɒ,t_g,1.0,8
ɪ,uː,t_g,0.5,8
iː,#,t_g,1.0,24
iː,ə,t_g,0.777777777778,144
iː,ɑː,t_g,1.0,12
iː,ɪ,t_g,0.958333333333,24
iː,ɒ,t_g,1.0,4
iː,uː,t_g,0.75,4
ɒ,#,t_g,1.0,24
ɒ,ə,t_g,0.826388888889,144
ɒ,ɑː,t_g,1.0,12
ɒ,ɪ,t_g,1.0,24
ɒ,iː,t_g,1.0,4
ɒ,uː,t_g,1.0,4
uː,#,t_g,1.0,24
uː,ə,t_g,0.375,144
uː,ɑː,t_g,1.0,12
uː,ɪ,t_g,0.875,24
uː,iː,t_g,0.75,4
uː,ɒ,t_g,1.0,4
d,j,ei_u,1.0,12
j,d,ei_u,1.0,6
t,d,ei_u,0.5,2
t,j,ei_u,1.0,6
#,iː,l_ii,1.0,2
#,uː,l_ii,1.0,6
iː,uː,l_ii,1.0,12
ɔɪ,iː,l_ii,1.0,2
ɔɪ,uː,l_ii,1.0,6
uː,iː,l_ii,0.666666666667,6
ə,aʊ,b_t,0.998295454545,3520
ə,aɪ,b_t,1.0,64
ə,ɛ,b_t,1.0,64
ə,ɪ,b_t,0.819196428571,1344
ə,iː,b_t,1.0,640
ə,uː,b_t,0.921875,64
ə,ʌ,b_t,0.666369047619,6720
æ,ə,b_t,0.779233870968,992
æ,aʊ,b_t,0.8909090909090001,110
æ,aɪ,b_t,1.0,2
æ,ɛ,b_t,0.5,2
æ,ɪ,b_t,1.0,42
æ,iː,b_t,1.0,20
æ,uː,b_t,1.0,2
æ,ʌ,b_t,0.5666666666669999,210
