phone_2,phone_1,by,score,n
əʊ,ə,"('v_t', 'msak0')",1.0,2
d,ə,"('v_t', 'msak0')",1.0,2
n,ə,"('v_t', 'msak0')",0.5,2
ɔː,ə,"('v_t', 'msak0')",1.0,2
s,ə,"('v_t', 'msak0')",0.0,2
z,ə,"('v_t', 'msak0')",1.0,2
b,k,"('@_uh', 'fsew0')",1.0,2
b,m,"('@_uh', 'fsew0')",0.65,20
b,n,"('@_uh', 'fsew0')",0.880952380952,42
b,ɹ,"('@_uh', 'fsew0')",0.666666666667,6
b,s,"('@_uh', 'fsew0')",0.833333333333,6
dʒ,k,"('@_uh', 'fsew0')",1.0,2
dʒ,m,"('@_uh', 'fsew0')",1.0,20
dʒ,n,"('@_uh', 'fsew0')",0.928571428571,42
dʒ,ɹ,"('@_uh', 'fsew0')",1.0,6
dʒ,s,"('@_uh', 'fsew0')",1.0,6
j,k,"('@_uh', 'fsew0')",1.0,2
j,m,"('@_uh', 'fsew0')",1.0,20
j,n,"('@_uh', 'fsew0')",1.0,42
j,ɹ,"('@_uh', 'fsew0')",1.0,6
j,s,"('@_uh', 'fsew0')",1.0,6
k,m,"('@_uh', 'fsew0')",1.0,40
k,n,"('@_uh', 'fsew0')",0.97619047619,84
k,ɹ,"('@_uh', 'fsew0')",0.833333333333,12
k,s,"('@_uh', 'fsew0')",1.0,12
l,k,"('@_uh', 'fsew0')",1.0,2
l,m,"('@_uh', 'fsew0')",1.0,20
l,n,"('@_uh', 'fsew0')",0.833333333333,42
l,ɹ,"('@_uh', 'fsew0')",0.666666666667,6
l,s,"('@_uh', 'fsew0')",1.0,6
m,k,"('@_uh', 'fsew0')",1.0,10
m,n,"('@_uh', 'fsew0')",0.890476190476,210
m,ɹ,"('@_uh', 'fsew0')",0.766666666667,30
m,s,"('@_uh', 'fsew0')",0.8666666666670001,30
n,k,"('@_uh', 'fsew0')",1.0,14
n,m,"('@_uh', 'fsew0')",1.0,140
n,ɹ,"('@_uh', 'fsew0')",0.714285714286,42
n,s,"('@_uh', 'fsew0')",0.785714285714,42
ɹ,k,"('@_uh', 'fsew0')",1.0,6
ɹ,m,"('@_uh', 'fsew0')",0.983333333333,60
ɹ,n,"('@_uh', 'fsew0')",0.84126984127,126
ɹ,s,"('@_uh', 'fsew0')",1.0,18
s,k,"('@_uh', 'fsew0')",1.0,6
s,m,"('@_uh', 'fsew0')",0.916666666667,60
s,n,"('@_uh', 'fsew0')",0.6587301587300001,126
s,ɹ,"('@_uh', 'fsew0')",0.944444444444,18
θ,k,"('@_uh', 'fsew0')",1.0,2
θ,m,"('@_uh', 'fsew0')",1.0,20
θ,n,"('@_uh', 'fsew0')",0.833333333333,42
θ,ɹ,"('@_uh', 'fsew0')",1.0,6
θ,s,"('@_uh', 'fsew0')",1.0,6
w,k,"('@_uh', 'fsew0')",1.0,2
w,m,"('@_uh', 'fsew0')",0.95,20
w,n,"('@_uh', 'fsew0')",0.97619047619,42
w,ɹ,"('@_uh', 'fsew0')",0.666666666667,6
w,s,"('@_uh', 'fsew0')",1.0,6
ə,ɪ,"('d_d', 'fsew0')",0.695054945055,364
ɪ,ə,"('d_d', 'fsew0')",0.714285714286,28
n,ə,"('d_d', 'fsew0')",0.0,2
n,ɪ,"('d_d', 'fsew0')",0.576923076923,182
əʊ,ɪ,"('r_tS', 'msak0')",1.0,6
ɛɪ,ɪ,"('r_tS', 'msak0')",1.0,6
aɪ,s,"('k_#', 'fsew0')",1.0,2
ʃ,ð,"('i_i', 'msak0')",1.0,12
ʃ,f,"('i_i', 'msak0')",1.0,12
ʃ,n,"('i_i', 'msak0')",1.0,4
ʃ,ŋ,"('i_i', 'msak0')",1.0,112
ʃ,p,"('i_i', 'msak0')",1.0,4
ʃ,s,"('i_i', 'msak0')",1.0,12
ʃ,t,"('i_i', 'msak0')",0.583333333333,12
ʃ,v,"('i_i', 'msak0')",1.0,4
ð,ʃ,"('i_i', 'msak0')",1.0,6
ð,f,"('i_i', 'msak0')",1.0,18
ð,n,"('i_i', 'msak0')",1.0,6
ð,ŋ,"('i_i', 'msak0')",1.0,168
ð,p,"('i_i', 'msak0')",1.0,6
ð,s,"('i_i', 'msak0')",1.0,18
ð,t,"('i_i', 'msak0')",1.0,18
ð,v,"('i_i', 'msak0')",1.0,6
f,ʃ,"('i_i', 'msak0')",1.0,6
f,ð,"('i_i', 'msak0')",1.0,18
f,n,"('i_i', 'msak0')",1.0,6
f,ŋ,"('i_i', 'msak0')",1.0,168
f,p,"('i_i', 'msak0')",1.0,6
f,s,"('i_i', 'msak0')",1.0,18
f,t,"('i_i', 'msak0')",0.833333333333,18
f,v,"('i_i', 'msak0')",0.33333333333299997,6
g,ʃ,"('i_i', 'msak0')",1.0,2
g,ð,"('i_i', 'msak0')",1.0,6
g,f,"('i_i', 'msak0')",1.0,6
g,n,"('i_i', 'msak0')",1.0,2
g,ŋ,"('i_i', 'msak0')",0.642857142857,56
g,p,"('i_i', 'msak0')",1.0,2
g,s,"('i_i', 'msak0')",1.0,6
g,t,"('i_i', 'msak0')",1.0,6
g,v,"('i_i', 'msak0')",1.0,2
k,ʃ,"('i_i', 'msak0')",1.0,2
k,ð,"('i_i', 'msak0')",1.0,6
k,f,"('i_i', 'msak0')",1.0,6
k,n,"('i_i', 'msak0')",1.0,2
k,ŋ,"('i_i', 'msak0')",0.267857142857,56
k,p,"('i_i', 'msak0')",1.0,2
k,s,"('i_i', 'msak0')",1.0,6
k,t,"('i_i', 'msak0')",1.0,6
k,v,"('i_i', 'msak0')",1.0,2
l,ʃ,"('i_i', 'msak0')",1.0,2
l,ð,"('i_i', 'msak0')",1.0,6
l,f,"('i_i', 'msak0')",1.0,6
l,n,"('i_i', 'msak0')",1.0,2
l,ŋ,"('i_i', 'msak0')",0.964285714286,56
l,p,"('i_i', 'msak0')",1.0,2
l,s,"('i_i', 'msak0')",1.0,6
l,t,"('i_i', 'msak0')",1.0,6
l,v,"('i_i', 'msak0')",1.0,2
m,ʃ,"('i_i', 'msak0')",1.0,2
m,ð,"('i_i', 'msak0')",1.0,6
m,f,"('i_i', 'msak0')",1.0,6
m,n,"('i_i', 'msak0')",1.0,2
m,ŋ,"('i_i', 'msak0')",1.0,56
m,p,"('i_i', 'msak0')",1.0,2
m,s,"('i_i', 'msak0')",1.0,6
m,t,"('i_i', 'msak0')",1.0,6
m,v,"('i_i', 'msak0')",1.0,2
n,ʃ,"('i_i', 'msak0')",0.5,4
n,ð,"('i_i', 'msak0')",1.0,12
n,f,"('i_i', 'msak0')",1.0,12
n,ŋ,"('i_i', 'msak0')",0.991071428571,112
n,p,"('i_i', 'msak0')",1.0,4
n,s,"('i_i', 'msak0')",1.0,12
n,t,"('i_i', 'msak0')",0.583333333333,12
n,v,"('i_i', 'msak0')",1.0,4
ŋ,ʃ,"('i_i', 'msak0')",1.0,16
ŋ,ð,"('i_i', 'msak0')",1.0,48
ŋ,f,"('i_i', 'msak0')",1.0,48
ŋ,n,"('i_i', 'msak0')",1.0,16
ŋ,p,"('i_i', 'msak0')",1.0,16
ŋ,s,"('i_i', 'msak0')",1.0,48
ŋ,t,"('i_i', 'msak0')",1.0,48
ŋ,v,"('i_i', 'msak0')",1.0,16
p,ʃ,"('i_i', 'msak0')",1.0,4
p,ð,"('i_i', 'msak0')",1.0,12
p,f,"('i_i', 'msak0')",1.0,12
p,n,"('i_i', 'msak0')",1.0,4
p,ŋ,"('i_i', 'msak0')",1.0,112
p,s,"('i_i', 'msak0')",1.0,12
p,t,"('i_i', 'msak0')",1.0,12
p,v,"('i_i', 'msak0')",1.0,4
s,ʃ,"('i_i', 'msak0')",1.0,6
s,ð,"('i_i', 'msak0')",1.0,18
s,f,"('i_i', 'msak0')",1.0,18
s,n,"('i_i', 'msak0')",1.0,6
