phone_2,phone_1,by,score,n
f,m,tS_uh,1.0,4
m,f,tS_uh,0.5,4
əʊ,aʊ,l_ii,1.0,4
əʊ,b,l_ii,0.416666666667,60
əʊ,y,l_ii,0.75,4
əʊ,n,l_ii,0.75,4
əʊ,s,l_ii,1.0,24
əʊ,t,l_ii,1.0,4
əʊ,θ,l_ii,1.0,4
əʊ,w,l_ii,0.25,4
aʊ,əʊ,l_ii,0.0,4
aʊ,b,l_ii,0.733333333333,60
aʊ,y,l_ii,1.0,4
aʊ,n,l_ii,1.0,4
aʊ,s,l_ii,1.0,24
aʊ,t,l_ii,1.0,4
aʊ,θ,l_ii,1.0,4
aʊ,w,l_ii,0.25,4
b,əʊ,l_ii,0.666666666667,12
b,aʊ,l_ii,1.0,12
b,y,l_ii,0.833333333333,12
b,n,l_ii,1.0,12
b,s,l_ii,0.875,72
b,t,l_ii,1.0,12
b,θ,l_ii,1.0,12
b,w,l_ii,0.416666666667,12
y,əʊ,l_ii,0.5,4
y,aʊ,l_ii,1.0,4
y,b,l_ii,0.5666666666669999,60
y,n,l_ii,0.25,4
y,s,l_ii,1.0,24
y,t,l_ii,1.0,4
y,θ,l_ii,1.0,4
y,w,l_ii,1.0,4
n,əʊ,l_ii,1.0,4
n,aʊ,l_ii,1.0,4
n,b,l_ii,0.733333333333,60
n,y,l_ii,0.5,4
n,s,l_ii,0.791666666667,24
n,t,l_ii,1.0,4
n,θ,l_ii,1.0,4
n,w,l_ii,1.0,4
s,əʊ,l_ii,1.0,8
s,aʊ,l_ii,1.0,8
s,b,l_ii,0.683333333333,120
s,y,l_ii,1.0,8
s,n,l_ii,0.625,8
s,t,l_ii,0.75,8
s,θ,l_ii,1.0,8
s,w,l_ii,1.0,8
t,əʊ,l_ii,1.0,4
t,aʊ,l_ii,1.0,4
t,b,l_ii,0.666666666667,60
t,y,l_ii,0.75,4
t,n,l_ii,0.5,4
t,s,l_ii,0.666666666667,24
t,θ,l_ii,1.0,4
t,w,l_ii,1.0,4
θ,əʊ,l_ii,1.0,4
θ,aʊ,l_ii,1.0,4
θ,b,l_ii,0.583333333333,60
θ,y,l_ii,1.0,4
θ,n,l_ii,0.75,4
θ,s,l_ii,0.458333333333,24
θ,t,l_ii,1.0,4
θ,w,l_ii,1.0,4
w,əʊ,l_ii,0.5,4
w,aʊ,l_ii,1.0,4
w,b,l_ii,0.4,60
w,y,l_ii,1.0,4
w,n,l_ii,1.0,4
w,s,l_ii,1.0,24
w,t,l_ii,1.0,4
w,θ,l_ii,1.0,4
ə,əʊ,b_t,0.05,20
ə,aʊ,b_t,0.875,120
ə,ɪ,b_t,0.733333333333,120
ə,iː,b_t,1.0,120
ə,l,b_t,0.475,120
ə,ɒ,b_t,0.9,20
ə,ɔː,b_t,0.9466666666670001,300
ə,ʌ,b_t,0.575,120
əʊ,ə,b_t,0.561111111111,180
əʊ,aʊ,b_t,0.833333333333,24
əʊ,ɪ,b_t,0.625,24
əʊ,iː,b_t,1.0,24
əʊ,l,b_t,0.541666666667,24
əʊ,ɒ,b_t,0.75,4
əʊ,ɔː,b_t,0.8833333333329999,60
əʊ,ʌ,b_t,0.625,24
aʊ,ə,b_t,0.6611111111110001,360
aʊ,əʊ,b_t,0.0,8
aʊ,ɪ,b_t,0.666666666667,48
aʊ,iː,b_t,1.0,48
aʊ,l,b_t,0.708333333333,48
aʊ,ɒ,b_t,1.0,8
aʊ,ɔː,b_t,0.9666666666670001,120
aʊ,ʌ,b_t,0.541666666667,48
ɪ,ə,b_t,0.7,360
ɪ,əʊ,b_t,0.25,8
ɪ,aʊ,b_t,0.8125,48
ɪ,iː,b_t,0.8125,48
ɪ,l,b_t,0.854166666667,48
ɪ,ɒ,b_t,1.0,8
ɪ,ɔː,b_t,1.0,120
ɪ,ʌ,b_t,0.875,48
iː,ə,b_t,0.861111111111,360
iː,əʊ,b_t,0.375,8
iː,aʊ,b_t,1.0,48
iː,ɪ,b_t,0.3125,48
iː,l,b_t,0.916666666667,48
iː,ɒ,b_t,1.0,8
iː,ɔː,b_t,1.0,120
iː,ʌ,b_t,1.0,48
l,ə,b_t,0.594444444444,360
l,əʊ,b_t,0.25,8
l,aʊ,b_t,0.9375,48
l,ɪ,b_t,0.854166666667,48
l,iː,b_t,1.0,48
l,ɒ,b_t,1.0,8
l,ɔː,b_t,0.875,120
l,ʌ,b_t,0.666666666667,48
ɒ,ə,b_t,0.416666666667,180
ɒ,əʊ,b_t,0.0,4
ɒ,aʊ,b_t,0.625,24
ɒ,ɪ,b_t,0.833333333333,24
ɒ,iː,b_t,1.0,24
ɒ,l,b_t,0.458333333333,24
ɒ,ɔː,b_t,0.8833333333329999,60
ɒ,ʌ,b_t,0.20833333333299997,24
ɔː,ə,b_t,0.577777777778,540
ɔː,əʊ,b_t,0.5,12
ɔː,aʊ,b_t,0.777777777778,72
ɔː,ɪ,b_t,0.875,72
ɔː,iː,b_t,1.0,72
ɔː,l,b_t,0.347222222222,72
ɔː,ɒ,b_t,0.916666666667,12
ɔː,ʌ,b_t,0.444444444444,72
ʌ,ə,b_t,0.5,360
ʌ,əʊ,b_t,0.25,8
ʌ,aʊ,b_t,0.604166666667,48
ʌ,ɪ,b_t,0.833333333333,48
ʌ,iː,b_t,1.0,48
ʌ,l,b_t,0.4375,48
ʌ,ɒ,b_t,0.875,8
ʌ,ɔː,b_t,0.816666666667,120
b,s,oi_oo,1.0,4
s,b,oi_oo,1.0,4
ə,aɪ,s_k,0.458333333333,24
ə,ɪ,s_k,0.854395604396,364
ə,y,s_k,1.0,4
ə,k,s_k,1.0,4
ə,s,s_k,0.85,60
ə,t,s_k,1.0,4
aɪ,ə,s_k,0.125,8
aɪ,ɪ,s_k,0.821428571429,728
aɪ,y,s_k,1.0,8
aɪ,k,s_k,1.0,8
aɪ,s,s_k,0.875,120
aɪ,t,s_k,1.0,8
ɪ,ə,s_k,0.25,28
ɪ,aɪ,s_k,0.642857142857,168
ɪ,y,s_k,0.821428571429,28
ɪ,k,s_k,0.8571428571430001,28
ɪ,s,s_k,0.514285714286,420
ɪ,t,s_k,0.928571428571,28
y,ə,s_k,0.25,4
y,aɪ,s_k,0.541666666667,24
y,ɪ,s_k,0.376373626374,364
y,k,s_k,1.0,4
y,s,s_k,0.5666666666669999,60
y,t,s_k,1.0,4
k,ə,s_k,0.5,4
k,aɪ,s_k,0.833333333333,24
k,ɪ,s_k,0.357142857143,364
k,y,s_k,0.75,4
k,s,s_k,0.5,60
k,t,s_k,1.0,4
s,ə,s_k,0.166666666667,12
s,aɪ,s_k,0.777777777778,72
s,ɪ,s_k,0.7115384615379999,1092
s,y,s_k,1.0,12
s,k,s_k,1.0,12
s,t,s_k,1.0,12
t,ə,s_k,0.5,4
t,aɪ,s_k,0.833333333333,24
t,ɪ,s_k,0.423076923077,364
t,y,s_k,0.75,4
t,k,s_k,1.0,4
t,s,s_k,0.45,60
ɪ,ɒ,l_ng,0.827777777778,180
ɒ,ɪ,l_ng,1.0,20
l,p,iy_ei,1.0,4
l,t,iy_ei,0.75,4
p,l,iy_ei,0.75,4
p,t,iy_ei,1.0,4
t,l,iy_ei,0.75,4
t,p,iy_ei,1.0,4
əʊ,ɔɪ,l_iy,0.25,4
əʊ,θ,l_iy,1.0,24
ɔɪ,əʊ,l_iy,0.0,4
ɔɪ,θ,l_iy,1.0,24
θ,əʊ,l_iy,0.875,8
θ,ɔɪ,l_iy,0.875,8
ə,əʊ,p_n,0.916666666667,12
ə,æ,p_n,0.833333333333,12
ə,aɪ,p_n,1.0,12
ə,ɛ,p_n,0.861111111111,72
ə,ɪ,p_n,0.416666666667,12
ə,ɒ,p_n,1.0,12
ə,ɔɪ,p_n,0.9777777777779999,180
ə,s,p_n,0.75,12
ə,uː,p_n,1.0,12
əʊ,ə,p_n,0.533333333333,60
əʊ,æ,p_n,1.0,4
əʊ,aɪ,p_n,1.0,4
əʊ,ɛ,p_n,0.958333333333,24
əʊ,ɪ,p_n,0.25,4
əʊ,ɒ,p_n,1.0,4
əʊ,ɔɪ,p_n,0.9,60
əʊ,s,p_n,1.0,4
əʊ,uː,p_n,1.0,4
æ,ə,p_n,0.516666666667,60
æ,əʊ,p_n,1.0,4
æ,aɪ,p_n,0.75,4
æ,ɛ,p_n,0.625,24
æ,ɪ,p_n,0.0,4
æ,ɒ,p_n,1.0,4
