{valid}
articulator	MLP	AE (RNN)	RNN
tt_x	1.246	1.190	1.085
tt_y	1.704	1.578	1.334
tb_x	1.397	1.312	1.194
tb_y	1.307	1.248	1.070
td_x	1.388	1.297	1.165
td_y	1.470	1.423	1.231
li_x	0.685	0.656	0.608
li_y	0.764	0.767	0.678
ul_x	0.369	0.348	0.329
ul_y	0.514	0.507	0.443
ll_x	0.697	0.677	0.624
ll_y	1.202	1.181	0.992
			
mean	1.062	1.015	0.896
std	0.413	0.384	0.325

{test}
articulator	MLP	AE (RNN)	RNN
tt_x	1.231	1.183	1.100
tt_y	1.719	1.599	1.349
tb_x	1.380	1.304	1.211
tb_y	1.276	1.223	1.043
td_x	1.379	1.303	1.189
td_y	1.647	1.616	1.466
li_x	0.682	0.663	0.616
li_y	0.759	0.783	0.695
ul_x	0.363	0.343	0.321
ul_y	0.512	0.512	0.439
ll_x	0.699	0.673	0.609
ll_y	1.191	1.190	0.982
			
mean	1.070	1.032	0.918
std	0.431	0.404	0.356

nb: AE 15, cut results
